AU336115,POINT(115.4999836 -35.50000665)
AU336116,POINT(116.5 -35.5)
AU336117,POINT(117.5 -35.5)
AU336119,POINT(119.50008845 -35.50000665)
AU336120,POINT(120.5001863 -35.50000665)
AU336133,POINT(133.5 -35.5)
AU336134,POINT(134.5 -35.5)
AU336135,POINT(135.5 -35.5)
AU336151,POINT(151.5 -35.5)
AU337133,POINT(133.5 -36.5)
AU337134,POINT(134.5 -36.5)
AU337135,POINT(135.5 -36.5)
AU337138,POINT(138.5 -36.5)
AU337151,POINT(151.5000678 -36.5000185)
AU338135,POINT(135.5 -37.5)
AU338136,POINT(136.5 -37.5)
CA570579,POINT(-128.425 52.515)
AU338137,POINT(137.5 -37.5)
AU338138,POINT(138.5 -37.5)
AU339138,POINT(138.49994195 -38.499985)
AU339139,POINT(139.50003975 -38.499985)
AU339149,POINT(149.5 -38.5)
AU339150,POINT(150.49996995 -38.499985)
AU340141,POINT(141.5 -39.5)
AU340142,POINT(142.5 -39.5)
AU340145,POINT(145.5 -39.5)
AU340149,POINT(149.5 -39.5)
AU341143,POINT(143.5 -40.5)
AU341149,POINT(149.49987215 -40.50000875)
AU342143,POINT(143.4998581 -41.499992)
AU342149,POINT(149.49987215 -41.499992)
AU343144,POINT(144.49995595 -42.5000039)
AU344144,POINT(144.49995595 -43.5000158)
AU345145,POINT(145.50005375 -44.499999)
AU345146,POINT(146.4998651 -44.499999)
AU345147,POINT(147.49996295 -44.499999)
AU355159,POINT(159.49999105 -54.5000033)
AU356158,POINT(158.4998932 -55.49998655)
AU356159,POINT(159.49999105 -55.49998655)
AU402146,POINT(146.5 -1.5)
AU402147,POINT(147.5 -1.5)
AU402149,POINT(149.49987215 -1.50000065)
AU403141,POINT(141.49994895 -2.5000011)
AU403142,POINT(142.50004675 -2.5000011)
AU403146,POINT(146.5 -2.5)
AU403147,POINT(147.5 -2.5)
AU403149,POINT(149.49987215 -2.5000011)
AU403150,POINT(150.5 -2.5)
AU403151,POINT(151.5000678 -2.5000011)
AU404142,POINT(142.5 -3.5)
AU404143,POINT(143.5 -3.5)
AU404144,POINT(144.5 -3.5)
AU404151,POINT(151.5 -3.5)
AU404152,POINT(152.5 -3.5)
FI4EIHME,POINT(21.625 59.823)
AU405144,POINT(144.5 -4.5)
AU405145,POINT(145.5 -4.5)
AU405151,POINT(151.5 -4.5)
AU405152,POINT(152.5 -4.5)
AU405153,POINT(153.5 -4.5)
AU406145,POINT(145.5 -5.5)
AU406146,POINT(146.5 -5.5)
AU406147,POINT(147.5 -5.5)
AU406148,POINT(148.5 -5.5)
AU406149,POINT(149.5 -5.5)
AU406150,POINT(150.5 -5.5)
AU406151,POINT(151.5 -5.5)
AU406152,POINT(152.5 -5.5)
AU406154,POINT(154.5 -5.5)
AU406155,POINT(155.5 -5.5)
AU407146,POINT(146.5 -6.5)
AU407147,POINT(147.5 -6.5)
AU407148,POINT(148.5 -6.5)
AU407149,POINT(149.5 -6.5)
AU407150,POINT(150.49996995 -6.50000565)
AU407151,POINT(151.5000678 -6.50000565)
AU407154,POINT(154.5 -6.5)
AU407155,POINT(155.5 -6.5)
AU408143,POINT(143.5 -7.5)
AU408144,POINT(144.5 -7.5)
AU408145,POINT(145.5 -7.5)
AU408146,POINT(146.5 -7.5)
AU408147,POINT(147.5 -7.5)
AU409127,POINT(127.5 -8.5)
AU409143,POINT(143.5 -8.5)
AU409145,POINT(145.5 -8.5)
AU409146,POINT(146.5 -8.5)
AU409147,POINT(147.49996295 -8.5000008)
AU409148,POINT(148.5 -8.5)
AU409149,POINT(149.5 -8.5)
AU409150,POINT(150.5 -8.5)
AU409151,POINT(151.5 -8.5)
AU409152,POINT(152.49987915 -8.5000008)
AU410141,POINT(141.5 -9.5)
AU410142,POINT(142.5 -9.5)
AU410143,POINT(143.5 -9.5)
AU410146,POINT(146.5 -9.5)
AU410147,POINT(147.5 -9.5)
AU410148,POINT(148.5000608 -9.5000127)
AU410149,POINT(149.5 -9.5)
AU410150,POINT(150.5 -9.5)
AU410151,POINT(151.5 -9.5)
AU410152,POINT(152.5 -9.5)
AU411105,POINT(105.5 -10.5)
AU411106,POINT(106.5 -10.5)
AU411129,POINT(129.5 -10.5)
AU411140,POINT(140.5 -10.5)
AU411141,POINT(141.5 -10.5)
AU411142,POINT(142.5 -10.5)
AU411143,POINT(143.5 -10.5)
AU411147,POINT(147.5 -10.5)
AU411148,POINT(148.5 -10.5)
AU411149,POINT(149.5 -10.5)
AU411150,POINT(150.5 -10.5)
AU411151,POINT(151.5 -10.5)
AU411152,POINT(152.5 -10.5)
AU412129,POINT(129.5 -11.5)
AU412130,POINT(130.5 -11.5)
AU412131,POINT(131.5 -11.5)
AU412132,POINT(132.5 -11.5)
AU412133,POINT(133.5 -11.5)
AU412134,POINT(134.5 -11.5)
AU412135,POINT(135.5 -11.5)
AU412136,POINT(136.5 -11.5)
AU412141,POINT(141.5 -11.5)
AU412142,POINT(142.5 -11.5)
AU412143,POINT(143.5 -11.5)
AU412152,POINT(152.5 -11.5)
AU412153,POINT(153.49997695 -11.5000078)
AU412154,POINT(154.5 -11.5)
AU413129,POINT(129.5 -12.5)
AU413130,POINT(130.5 -12.5)
AU413131,POINT(131.5 -12.5)
C25C502E,POINT(114.261 22.3645)
AU413132,POINT(132.5 -12.5)
AU413134,POINT(134.5 -12.5)
AU413135,POINT(135.5 -12.5)
AU413136,POINT(136.5 -12.5)
AU413141,POINT(141.5 -12.5)
AU413142,POINT(142.5 -12.5)
AU413143,POINT(143.5 -12.5)
AU413144,POINT(144.5 -12.5)
AU414126,POINT(126.5 -13.5)
AU414129,POINT(129.5 -13.5)
AU414130,POINT(130.5 -13.5)
AU414135,POINT(135.5 -13.5)
AU414136,POINT(136.5 -13.5)
AU414141,POINT(141.5 -13.5)
AU414143,POINT(143.5 -13.5)
AU414144,POINT(144.5 -13.5)
AU415124,POINT(124.5 -14.5)
AU415125,POINT(125.5 -14.5)
AU415126,POINT(126.5 -14.5)
AU415128,POINT(128.5 -14.5)
AU415129,POINT(129.5 -14.5)
AU415130,POINT(130.5000187 -14.49998615)
AU415135,POINT(135.5 -14.5)
AU415136,POINT(136.5 -14.5)
AU415143,POINT(143.5 -14.5)
AU415144,POINT(144.5 -14.5)
AU415145,POINT(145.5 -14.5)
AU416123,POINT(123.5 -15.5)
AU416124,POINT(124.5 -15.5)
AU416125,POINT(125.5 -15.5)
AU416128,POINT(128.5 -15.5)
AU416129,POINT(129.5 -15.5)
AU416130,POINT(130.5000187 -15.49999805)
AU416135,POINT(135.5 -15.5)
AU416136,POINT(136.5 -15.5)
AU416145,POINT(145.5 -15.5)
AU416146,POINT(146.5 -15.5)
AU417122,POINT(122.5 -16.5)
AU417123,POINT(123.5 -16.5)
AU417124,POINT(124.5 -16.5)
