AU270100,"POLYGON((110 -60,110 -70,100 -70,100 -60,110 -60))"
AU301143,"POLYGON((144 0,144 -1,143 -1,143 0,144 0))"
AU301144,"POLYGON((145 0,145 -1,144 -1,144 0,145 0))"
AU301145,"POLYGON((146 0,146 -1,145 -1,145 0,146 0))"
AU301146,"POLYGON((147 0,147 -1,146 -1,146 0,147 0))"
AU302142,"POLYGON((143 -1,143 -2,142 -2,142 -1,143 -1))"
AU302143,"POLYGON((144 -1,144 -2,143 -2,143 -1,144 -1))"
AU302144,"POLYGON((145 -1,145 -2,144 -2,144 -1,145 -1))"
AU302145,"POLYGON((146 -1,146 -2,145 -2,145 -1,146 -1))"
AU302148,"POLYGON((149 -1,149 -2,148 -2,148 -1,149 -1))"
AU302150,"POLYGON((151.0001621 -1.0000004,151.0001621 -2.0000009,149.9997778 -2.0000009,149.9997778 -1.0000004,151.0001621 -1.0000004))"
AU302151,"POLYGON((151.9999735 -1.0000004,151.9999735 -2.0000009,151.0001621 -2.0000009,151.0001621 -1.0000004,151.9999735 -1.0000004))"
AU303143,"POLYGON((144 -2,144 -3,143 -3,143 -2,144 -2))"
AU303144,"POLYGON((145 -2,145 -3,144 -3,144 -2,145 -2))"
AU303145,"POLYGON((146 -2,146 -3,145 -3,145 -2,146 -2))"
AU303148,"POLYGON((149 -2,149 -3,148 -3,148 -2,149 -2))"
AU303152,"POLYGON((152.9997848 -2.0000009,152.9997848 -3.0000013,151.9999735 -3.0000013,151.9999735 -2.0000009,152.9997848 -2.0000009))"
AU303153,"POLYGON((154.0001691 -2.0000009,154.0001691 -3.0000013,152.9997848 -3.0000013,152.9997848 -2.0000009,154.0001691 -2.0000009))"
AU304145,"POLYGON((146 -3,146 -4,145 -4,145 -3,146 -3))"
AU304146,"POLYGON((147 -3,147 -4,146 -4,146 -3,147 -3))"
AU304147,"POLYGON((148 -3,148 -4,147 -4,147 -3,148 -3))"
AU304148,"POLYGON((149 -3,149 -4,148 -4,148 -3,149 -3))"
AU304149,"POLYGON((149.9997778 -3.0000013,149.9997778 -4.0000017,148.9999665 -4.0000017,148.9999665 -3.0000013,149.9997778 -3.0000013))"
AU304150,"POLYGON((151 -3,151 -4,150 -4,150 -3,151 -3))"
AU304153,"POLYGON((154.0001691 -3.0000013,154.0001691 -4.0000017,152.9997848 -4.0000017,152.9997848 -3.0000013,154.0001691 -3.0000013))"
AU304154,"POLYGON((154.9999805 -3.0000013,154.9999805 -4.0000017,154.0001691 -4.0000017,154.0001691 -3.0000013,154.9999805 -3.0000013))"
AU304155,"POLYGON((155.9997918 -3.0000013,155.9997918 -4.0000017,154.9999805 -4.0000017,154.9999805 -3.0000013,155.9997918 -3.0000013))"
AU305146,"POLYGON((147 -4,147 -5,146 -5,146 -4,147 -4))"
AU305147,"POLYGON((148.0001551 -4.0000017,148.0001551 -5.0000021,146.9997708 -5.0000021,146.9997708 -4.0000017,148.0001551 -4.0000017))"
AU305148,"POLYGON((148.9999665 -4.0000017,148.9999665 -5.0000021,148.0001551 -5.0000021,148.0001551 -4.0000017,148.9999665 -4.0000017))"
AU305149,"POLYGON((150 -4,150 -5,149 -5,149 -4,150 -4))"
AU305150,"POLYGON((151 -4,151 -5,150 -5,150 -4,151 -4))"
AU305154,"POLYGON((154.9999805 -4.0000017,154.9999805 -5.0000021,154.0001691 -5.0000021,154.0001691 -4.0000017,154.9999805 -4.0000017))"
AU305155,"POLYGON((155.9997918 -4.0000017,155.9997918 -5.0000021,154.9999805 -5.0000021,154.9999805 -4.0000017,155.9997918 -4.0000017))"
AU306153,"POLYGON((154.0001691 -5.0000021,154.0001691 -6.000014,152.9997848 -6.000014,152.9997848 -5.0000021,154.0001691 -5.0000021))"
AU306156,"POLYGON((157 -5,157 -6,156 -6,156 -5,157 -5))"
